Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Item Text, £ ,Postal Code
Department for Transport,Department for Transport,28/03/2025,Capital Subs To Tocs,DG Public Transport and Local Group,WEST MIDLANDS TRAINS,2000038236,2601 Wk4 WMT - Rail PAYG Pilots  - West Midlands T,"£80,676.00",B4 6GA
Department for Transport,Department for Transport,28/03/2025,Telephone charges,DG Corporate Delivery Group,EE LTD,2000038228,Shared Data Charge - 09.02.25 to 08.03.25,"£80,633.22",E18EE
Department for Transport,Department for Transport,31/03/2025,Cap Grt NDPBs & CG,"DG Aviation, Maritime & Security Group",CIVIL AVIATION AUTHORITY,2000038367,SO1 T&E Feb 25,"£80,588.68",RH6 0YR
Department for Transport,National Highways,03/03/2025,CM - Lump Sum Fees,OPERATIONS DIRECTORATE,RINGWAY INFRASTRUCTURE SERVICES LIMITED,CONF8800022646862740,Routine Maintenance,"£80,560.52",EN1 1TH
Department for Transport,National Highways,31/03/2025,Contractor Costs,OPERATIONS DIRECTORATE,TELENT TECHNOLOGY SERVICES LIMITED,1017971,Operate General Other,"£80,493.15",CV34 5AH
Department for Transport,National Highways,20/03/2025,TA Cost AUC - Programme,MAJOR PROJECTS,Urban&Civic MiddleBeck Limited,1015167,Safety,"£80,455.00",W1S 1BJ
Department for Transport,Department for Transport,28/03/2025,Small Software,"DG Aviation, Maritime & Security Group",Bechtle Direct Ltd,2000038250,#,"£80,441.06",SN14 0GF
Department for Transport,National Highways,26/03/2025,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,P. DUCKER SYSTEMS LIMITED,1017156,Renewals of Technology,"£80,251.93",DE21 6LY
Department for Transport,National Highways,27/03/2025,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,Crown Plus Ltd (Non-CIS),1017431,Renewals of Roads,"£80,164.15",TF7 4QH
Department for Transport,National Highways,06/03/2025,TA Cost AUC - Programme,MAJOR PROJECTS,BALFOUR BEATTY CIVIL ENGINEERING LIMITED,1012683,RIS 1 Schemes,"£80,144.50",SW1V 1LQ
Department for Transport,DVSA,21/03/2025,RENT,ESTATES,CHRISTIAN VISION,1900015212,RC ATHERTON WIGAN MPTC RENT,"£80,108.03",#
Department for Transport,Driver & Vehicle Licensing Agency,22/03/2025,Non-stock Printing,Operations,APS Group Ltd,2000033158,#,"£80,107.22",SK3 0ZP
Department for Transport,Department for Transport,17/03/2025,IT Ser Running Costs,DG Corporate Delivery Group,GLUE REPLY LIMITED,2000036622,#,"£80,000.00",SW1W 0EB
Department for Transport,DVSA,28/03/2025,PROGRAMME AND PROJECT MANAGEMENT CONSULTANCY,T3 CONTRACT RE-LETS,PA CONSULTING SERVICES LIMITED,5100009328,T3 DELIVERY PARTNER,"£80,000.00",#
Department for Transport,DVSA,10/03/2025,TRAINING,LEARNING & DEVELOPMENT,KING'S COLLEGE LONDON,5100008633,CUSTOMISED ENGAGEMENT PLAN - K280021974,"£80,000.00",#
Department for Transport,High Speed Two (HS2) Limited,01/03/2025,AUC - Phase 2B,AUC - 000000,NEC SOFTWARE SOLUTIONS,#,BAU 89 Digital Evidence System - 18 months extension   ,"£79,999.80",#
Department for Transport,Department for Transport,11/03/2025,CurrGrtPriSec-P&NPIS,DG Public Transport and Local Group,REGIONAL DRIVING ASSESSMENT CENTRE,2000036010,"""Mobility Centres -Add grant Mar2025 (#372,538.88)","£79,981.05",B8 1AU
Department for Transport,DVSA,21/03/2025,RENT,ESTATES,PATEL BROTHERS LIMITED,1900014651,RC - SWINDON MPTC RENT,"£79,938.75",#
Department for Transport,National Highways,20/03/2025,TA Cost AUC – Non SRN,DIGITAL SERVICES,TELENT TECHNOLOGY SERVICES LIMITED,1015306,Corporate Support Services,"£79,833.98",CV34 5AH
Department for Transport,National Highways,21/03/2025,TA Renewal of Structures - Capital,OPERATIONS DIRECTORATE,WSP UK LIMITED,1016120,Renewals of Structures,"£79,812.99",B1 1RQ
Department for Transport,National Highways,27/03/2025,TA Cost AUC - Programme,MAJOR PROJECTS,JACOBS UK LIMITED,1017478,RIS 3 Development,"£79,743.52",G2 7HX
Department for Transport,National Highways,24/03/2025,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,J MCCANN & CO LTD,1016418,Safety,"£79,643.43",NG9 6DG
Department for Transport,National Highways,19/03/2025,CM - Compounds Maintenance,OPERATIONS DIRECTORATE,KIER TRANSPORTATION LIMITED,CONF9260304140591834,Routine Maintenance,"£79,588.78",M50 3XP
Department for Transport,National Highways,27/03/2025,TA Cost AUC – Non SRN,DIGITAL SERVICES,LA INTERNATIONAL COMPUTER CONSULTANTS LTD,1017393,Corporate Support Services,"£79,478.50",ST1 5UB
Department for Transport,DVSA,19/03/2025,RENT,ESTATES,"BNP PARIBAS EUROPE, C/O GOVERNMENT",1900013483,SERVICES - 1.4.25  - 30.6.25,"£79,304.70",#
Department for Transport,National Highways,14/03/2025,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,CROWN HIGHWAYS LTD,1013765,Renewals of Technology,"£79,209.89",WS7 4QF
Department for Transport,National Highways,21/03/2025,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,Chevron Traffic Management Ltd,1015610,Renewals of Roads,"£78,984.85",EC2M 5QQ
Department for Transport,National Highways,19/03/2025,TA Renewal of Structures - Capital,OPERATIONS DIRECTORATE,KIER TRANSPORTATION LIMITED,CONF9076910640595161,Renewals of Structures,"£78,971.45",M50 3XP
Department for Transport,National Highways,10/03/2025,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,RINGWAY INFRASTRUCTURE SERVICES LIMITED,CONF8830010246865807,Renewals of Roads,"£78,959.85",EN1 1TH
Department for Transport,National Highways,26/03/2025,TA Cost AUC - Programme,"CUSTOMER, STRATEGY AND COMMUNICATIONS",BJSS LIMITED,1017168,RIS 3 Development,"£78,931.00",LS1 4HR
Department for Transport,National Highways,12/03/2025,TA Renewal of Structures - Capital,FINANCE & BUSINESS SERVICES,DYER & BUTLER LTD,1013403,Renewals of Structures,"£78,813.51",SG1 2ST
Department for Transport,Maritime and Coastguard Agency,26/03/2025,Rent,Estates,Hartnell Taylor Cook LLP No. 1 Client Account,233148018,Rent payments for various MCA locations,"£78,703.03",BS8 3JX
Department for Transport,National Highways,03/03/2025,TA Renewal of Structures - Capital,OPERATIONS DIRECTORATE,AMEY OW LIMITED,1012211,Renewals of Structures,"£78,687.57",OX4 4DQ
Department for Transport,British Transport Police,19/03/2025,Professional Fees,Projects,Red Snapper Recruitment T/A,583260,Professional Fees,"£78,607.00",E1 8DE
Department for Transport,Maritime and Coastguard Agency,04/03/2025,Comp S/Ware - Non FA,Technology Office,Phoenix Software Ltd,233147254,Windows ENT Per Device Per Device Upgrade Software Assurance Only Licence,"£78,583.50",YO42 1NS
Department for Transport,National Highways,17/03/2025,Contractor Costs,FINANCE & BUSINESS SERVICES,Euro Parking Collection plc,1013848,Protocol Dart Charge,"£78,578.33",N1 3DF
Department for Transport,British Transport Police,12/03/2025,Solicitors Fees,Legal & Insurance,Weightmans,586127,Solicitors Fees,"£78,560.28",L2 OGA
Department for Transport,National Highways,27/03/2025,TA Cost AUC - Programme,"SAFETY, ENGINEERING AND STANDARDS",AMERESCO LIMITED,1017588,Air Quality,"£78,216.84",GU1 4UL
Department for Transport,British Transport Police,05/03/2025,Professional Fees,Projects,Red Snapper Recruitment T/A,585744,Relates to BTP temp recruitment costs,"£78,072.94",E1 8DE
Department for Transport,High Speed Two (HS2) Limited,04/03/2025,Professional Services,P40230 - CIO,UP3 SERVICES LTD,#,BAU 59 Service Now Managed Support,"£78,065.10",#
Department for Transport,EWR,07/03/2025,Management Consultancy,Strategy,PRICEWATERHOUSE COOPERS,19567,AI Enhanced Design Review 2711-0402,"£78,000.00",WC2N 6RH
Department for Transport,Driver & Vehicle Licensing Agency,27/03/2025,Publicity,Human Resource & Est,Manning Gottlieb,2000036497,#,"£77,992.98",SE1 0SW
Department for Transport,Department for Transport,28/03/2025,Secondments,DG Rail Services Group,NETWORK RAIL,2000038214,staff costs,"£77,819.66",M60 7WY
Department for Transport,Active Travel England,24/03/2025,CurrGrt Las in AEF/A,LA Capacity Building Fund,BRACKNELL FOREST BC,2000037350,Consolidated Active Travel Fund 1,"£77,591.00",RG12 1AQ
Department for Transport,National Highways,31/03/2025,TA Renewal of Structures - Capital,OPERATIONS DIRECTORATE,H W MARTIN (TRAFFIC MANAGEMENT) LIMITED,1018154,Renewals of Structures,"£77,499.42",DE55 5JY
Department for Transport,National Highways,27/03/2025,TA Cost AUC – Non SRN,DIGITAL SERVICES,ADVANCED 365 LIMITED,1017323,Renewals of Technology,"£77,425.01",NE26 6HA
Department for Transport,Maritime and Coastguard Agency,18/03/2025,IA - Information Technology - Cost - Additions,IT Service Operations,Specialist Computer Centres PLC,233147802,Technology Services Agreement,"£77,274.42",B11 2LE
Department for Transport,National Highways,27/03/2025,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,AUTOLINK CONCESSIONAIRES (A19) LIMITED,1017537,Safety,"£77,272.91",TS23 1PX
Department for Transport,Department for Transport,11/03/2025,Support Services,"DG Decarbonisation, Technology & Strategy ",VEHICLE CERTIFICATION AGENCY,2000036004,#,"£77,153.00",BS5 6XX
Department for Transport,National Highways,25/03/2025,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,H W MARTIN (TRAFFIC MANAGEMENT) LIMITED,1016804,Carbon,"£77,040.21",DE55 5JY
Department for Transport,National Highways,12/03/2025,TA Renewal of Structures - Capital,FINANCE & BUSINESS SERVICES,HAMMOND (ECS) LTD,1013416,Renewals of Structures,"£76,959.49",CF44 0AE
Department for Transport,National Highways,28/03/2025,TA Cost AUC – Non SRN,DIGITAL SERVICES,BJSS LIMITED,1017630,Operate General Management Costs,"£76,620.00",LS1 4HR
Department for Transport,National Highways,20/03/2025,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,H W MARTIN (TRAFFIC MANAGEMENT) LIMITED,1015092,Renewals of Technology,"£76,493.38",DE55 5JY
Department for Transport,National Highways,13/03/2025,TA Renewal of Structures - Capital,OPERATIONS DIRECTORATE,WSP UK LIMITED,1013680,Renewals of Structures,"£76,435.95",B1 1RQ
Department for Transport,National Highways,17/03/2025,CM - Lump Sum Fees,OPERATIONS DIRECTORATE,RINGWAY INFRASTRUCTURE SERVICES LIMITED,CONF8800023600000001,Routine Maintenance,"£76,379.26",EN1 1TH
Department for Transport,National Highways,28/03/2025,TA Renewal of Structures - Capital,FINANCE & BUSINESS SERVICES,BEAVER BRIDGES LIMITED,1017614,Renewals of Structures,"£76,286.87",SY1 3TB
Department for Transport,National Highways,11/03/2025,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,MALCOLM HUGHES LAND SURVEYORS,1013351,Renewals of Roads,"£76,154.10",WA3 6BX
Department for Transport,National Highways,04/03/2025,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,VOLVO CAR UK LTD,1012378,Customer Operations Traffic Management,"£76,117.12",SL6 4FL
Department for Transport,National Highways,04/03/2025,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,VOLVO CAR UK LTD,1012380,Customer Operations Traffic Management,"£76,117.12",SL6 4FL
Department for Transport,National Highways,04/03/2025,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,VOLVO CAR UK LTD,1012382,Customer Operations Traffic Management,"£76,117.12",SL6 4FL
Department for Transport,National Highways,04/03/2025,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,VOLVO CAR UK LTD,1012385,Customer Operations Traffic Management,"£76,117.12",SL6 4FL
Department for Transport,National Highways,04/03/2025,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,VOLVO CAR UK LTD,1012389,Customer Operations Traffic Management,"£76,117.12",SL6 4FL
Department for Transport,National Highways,04/03/2025,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,VOLVO CAR UK LTD,1012391,Customer Operations Traffic Management,"£76,117.12",SL6 4FL
Department for Transport,National Highways,04/03/2025,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,VOLVO CAR UK LTD,1012393,Customer Operations Traffic Management,"£76,117.12",SL6 4FL
Department for Transport,National Highways,04/03/2025,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,VOLVO CAR UK LTD,1012395,Customer Operations Traffic Management,"£76,117.12",SL6 4FL
Department for Transport,National Highways,04/03/2025,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,VOLVO CAR UK LTD,1012398,Customer Operations Traffic Management,"£76,117.12",SL6 4FL
Department for Transport,National Highways,04/03/2025,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,VOLVO CAR UK LTD,1012401,Customer Operations Traffic Management,"£76,117.12",SL6 4FL
Department for Transport,National Highways,04/03/2025,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,VOLVO CAR UK LTD,1012403,Customer Operations Traffic Management,"£76,117.12",SL6 4FL
Department for Transport,National Highways,04/03/2025,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,VOLVO CAR UK LTD,1012406,Customer Operations Traffic Management,"£76,117.12",SL6 4FL
Department for Transport,National Highways,04/03/2025,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,VOLVO CAR UK LTD,1012409,Customer Operations Traffic Management,"£76,117.12",SL6 4FL
Department for Transport,National Highways,04/03/2025,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,VOLVO CAR UK LTD,1012411,Customer Operations Traffic Management,"£76,117.12",SL6 4FL
Department for Transport,National Highways,04/03/2025,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,VOLVO CAR UK LTD,1012413,Customer Operations Traffic Management,"£76,117.12",SL6 4FL
Department for Transport,National Highways,04/03/2025,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,VOLVO CAR UK LTD,1012415,Customer Operations Traffic Management,"£76,117.12",SL6 4FL
Department for Transport,National Highways,04/03/2025,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,VOLVO CAR UK LTD,1012418,Customer Operations Traffic Management,"£76,117.12",SL6 4FL
Department for Transport,National Highways,04/03/2025,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,VOLVO CAR UK LTD,1012423,Customer Operations Traffic Management,"£76,117.12",SL6 4FL
Department for Transport,National Highways,04/03/2025,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,VOLVO CAR UK LTD,1012425,Customer Operations Traffic Management,"£76,117.12",SL6 4FL
Department for Transport,National Highways,04/03/2025,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,VOLVO CAR UK LTD,1012427,Customer Operations Traffic Management,"£76,117.12",SL6 4FL
Department for Transport,National Highways,04/03/2025,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,VOLVO CAR UK LTD,1012429,Customer Operations Traffic Management,"£76,117.12",SL6 4FL
Department for Transport,National Highways,04/03/2025,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,VOLVO CAR UK LTD,1012441,Customer Operations Traffic Management,"£76,117.12",SL6 4FL
Department for Transport,National Highways,04/03/2025,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,VOLVO CAR UK LTD,1012446,Customer Operations Traffic Management,"£76,117.12",SL6 4FL
Department for Transport,National Highways,04/03/2025,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,VOLVO CAR UK LTD,1012448,Customer Operations Traffic Management,"£76,117.12",SL6 4FL
Department for Transport,National Highways,04/03/2025,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,VOLVO CAR UK LTD,1012450,Customer Operations Traffic Management,"£76,117.12",SL6 4FL
Department for Transport,Department for Transport,13/03/2025,Legal Consultancy,DG Rail Services Group,Addleshaw Goddard LLP,2000036352,Provide Legal Support to Project Team,"£75,889.00",EC1Y 4AG
Department for Transport,National Highways,19/03/2025,TA Cost AUC - Programme,MAJOR PROJECTS,COSTAIN LIMITED,829458,RIS 2 Schemes,"£75,884.83",SL6 4UB
Department for Transport,National Highways,26/03/2025,CM - Third Party Damage,OPERATIONS DIRECTORATE,RINGWAY INFRASTRUCTURE SERVICES LIMITED,CONF9211032654544088,Routine Maintenance,"£75,872.52",EN1 1TH
Department for Transport,DVSA,21/03/2025,RENT,ESTATES,COLIN GILL PROPERTY,1900014609,RC - PETERBOROUGH MPTC RENT,"£75,825.99",#
Department for Transport,National Highways,18/03/2025,Salt,OPERATIONS DIRECTORATE,COMPASS MINERALS UK LTD,1014104,Non MA,"£75,811.01",CW7 2PA
Department for Transport,Department for Transport,18/03/2025,Transport  Consult,DG Public Transport and Local Group,Ove Arup & Partners Limited,2000036733,#,"£75,765.19",W1T 4BJ
Department for Transport,National Highways,20/03/2025,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,Mason Street Furniture Ltd,1015377,Carbon,"£75,757.36",NN29 7XA
Department for Transport,High Speed Two (HS2) Limited,11/03/2025,Input VAT,AUC - 000000,BALFOUR BEATTY VINCI JV - HS2 (N1),#,Cert 56 MWCC North,"£75,645.39",#
Department for Transport,National Highways,11/03/2025,TA Cost AUC – Non SRN,DIGITAL SERVICES,NAVTECH RADAR LTD,1013373,RIS 2 Schemes,"£75,520.00",OX12 8PD
Department for Transport,National Highways,13/03/2025,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,VAN ELLE LIMITED,1013687,Renewals of Roads,"£75,488.61",NG17 8GJ
Department for Transport,National Highways,17/03/2025,TA Cost AUC – Non SRN,DIGITAL SERVICES,UP3 SERVICES LIMITED,1013893,Corporate Support Services,"£75,483.60",SE1 1DN
Department for Transport,National Highways,11/03/2025,CM - Lump Sum Fees,OPERATIONS DIRECTORATE,AMEY OW LIMITED,CONF9100209200000003,Technology Maintenance,"£75,403.84",OX4 4DQ
Department for Transport,National Highways,31/03/2025,TA Cost AUC - Programme,"SAFETY, ENGINEERING AND STANDARDS",THE TREE COUNCIL,1018013,Environment Other,"£75,278.00",SE16 2XU
Department for Transport,National Highways,15/03/2025,TA Cost AUC – Non SRN,DIGITAL SERVICES,CAPGEMINI UK PLC,1013844,Corporate Support Services,"£75,273.36",GU21 6DB
Department for Transport,National Highways,11/03/2025,TA Cost AUC - Programme,MAJOR PROJECTS,MACE CONSULT LIMITED,1013367,RIS 1 Schemes,"£75,105.12",EC2M 6XB
Department for Transport,Department for Transport,26/03/2025,Research,DG Public Transport and Local Group,NATIONAL CENTRE FOR SOCIAL RESEARCH,2000037739,#,"£75,000.00",EC1V 0AX
Department for Transport,National Highways,28/03/2025,TA Cost AUC – Non SRN,DIGITAL SERVICES,KAPSCH TRAFFICCOM AG,1017730,Renewals of Technology,"£75,000.00",AM Europlatz 2
Department for Transport,National Highways,28/03/2025,TA Cost AUC – Non SRN,DIGITAL SERVICES,KAPSCH TRAFFICCOM AG,1017731,Renewals of Technology,"£75,000.00",AM Europlatz 2
Department for Transport,Driver & Vehicle Licensing Agency,13/03/2025,Publicity,Human Resource & Est,Manning Gottlieb,2000034902,#,"£74,998.86",SE1 0SW
Department for Transport,National Highways,21/03/2025,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,Premier Traffic Management Ltd,1015852,Renewals of Roads,"£74,945.15",DL16 6TL
Department for Transport,National Highways,25/03/2025,TA Cost AUC – Non SRN,DIGITAL SERVICES,KAPSCH TRAFFICCOM AG,1016889,Operate General Management Costs,"£74,647.96",AM Europlatz 2
Department for Transport,Department for Transport,05/03/2025,Subsidies Private Se,DG Public Transport and Local Group,FIRST SOUTH YORKSHIRE LTD,2000035353,FIRST SOUTH YORKSHIRE LTD,"£74,642.39",ST3 5YY
Department for Transport,Department for Transport,21/03/2025,Cap Grt Loc Auth,DG Road Transport Group,CITY OF YORK COUNCIL,2000037207,City of York Council 10%-  LEVI C Fund 24-25,"£74,600.00",Y01 7WH
Department for Transport,National Highways,27/03/2025,TA Cost AUC – Non SRN,FINANCE & BUSINESS SERVICES,WSP UK LIMITED,1017324,Corporate Support Services,"£74,365.10",B1 1RQ
Department for Transport,High Speed Two (HS2) Limited,12/03/2025,Land Referencing,P40030 - Land Property,DELOITTE LLP,#,C590 Acquisitions and Advice - Euston & London Package Order 25,"£74,219.83",#
Department for Transport,National Highways,03/03/2025,TA Renewal of Structures - Capital,OPERATIONS DIRECTORATE,AMEY OW LIMITED,1012230,Renewals of Structures,"£74,142.34",OX4 4DQ
Department for Transport,Department for Transport,26/03/2025,Research,DG Road Transport Group,Frontier Economics,2000037772,#,"£74,085.00",EC2A 4JE
Department for Transport,Driver & Vehicle Licensing Agency,27/03/2025,Publicity,Human Resource & Est,Manning Gottlieb,2000036497,#,"£73,999.87",SE1 0SW
Department for Transport,National Highways,25/03/2025,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,EUROVIA INFRASTRUCTURE LTD,1016829,Renewals of Roads,"£73,794.45",RH12 2RW
Department for Transport,DVSA,17/03/2025,LAND & BUILDING (EXCL DWELLINGS) CAPITAL COST,SCUNTHORPE MPTC,MITIE FM LIMITED,5100009049,TO-376 SCUNTHORPE MPTC,"£73,792.12",#
Department for Transport,DVSA,21/03/2025,RENT,ESTATES,WORKMAN & PARTNERS,1900014632,RC - KETTERING MPTC RENT,"£73,786.77",#
Department for Transport,National Highways,27/03/2025,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,Chevron Traffic Management Ltd,1017331,Renewals of Roads,"£73,762.13",EC2M 5QQ
Department for Transport,Maritime and Coastguard Agency,25/03/2025,Aviation Flying Charge,Manston SAR Helicopter Base,Bristow Helicopters Ltd,233147782,Manston Flying Charge February 2025,"£73,738.22",RH1 5JZ
Department for Transport,National Highways,13/03/2025,TA Renewal of Structures - Capital,OPERATIONS DIRECTORATE,AtkinsRéalis UK Limited,1013573,Renewals of Structures,"£73,735.01",KT18 5BW
Department for Transport,National Highways,27/03/2025,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,TELENT TECHNOLOGY SERVICES LIMITED,1017339,Renewals of Technology,"£73,732.07",CV34 5AH
Department for Transport,National Highways,31/03/2025,Contractor Costs,DIGITAL SERVICES,MOTT MACDONALD GROUP LTD,1018004,Corporate Support Services,"£73,705.30",CR0 2EE
Department for Transport,National Highways,13/03/2025,CM - Third Party Damage,OPERATIONS DIRECTORATE,AMEY OW LIMITED,CONF9122018252057266,Routine Maintenance,"£73,484.69",OX4 4DQ
Department for Transport,Department for Transport,13/03/2025,IT Consultancy,DG Road Transport Group,KAINOS SOFTWARE LIMITED,2000036337,#,"£73,467.33",BT7 1NT
Department for Transport,National Highways,17/03/2025,TA Renewal of Structures - Capital,FINANCE & BUSINESS SERVICES,BALFOUR BEATTY CONSTRUCTION LTD,1014010,Renewals of Structures,"£73,222.00",ML7 4WQ
Department for Transport,Maritime and Coastguard Agency,25/03/2025,Occupational Health Scheme,Central HR Services,Healix International LTD,233148056,MCA's occupational health services - February 2025,"£73,198.45",KT10 8AB
Department for Transport,British Transport Police,13/03/2025,Fuel & Lubricants,Fleet,Allstar Fuel Card Services,585683,Fuel & Lubricants,"£73,129.10",SN5 6PE
Department for Transport,National Highways,25/03/2025,ICT Hardware Maintenance,DIGITAL SERVICES,SWARCO UK & Ireland Ltd,1016896,Corporate Support Services,"£73,116.59",RG24 8WZ
Department for Transport,National Highways,21/03/2025,TA Renewal of Structures - Capital,OPERATIONS DIRECTORATE,Metrail Construction Limited,1015902,Renewals of Structures,"£73,060.88",BN27 2EY
Department for Transport,National Highways,21/03/2025,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,WJ SOUTH LIMITED,1015912,Renewals of Roads,"£73,002.92",MK17 0BH
Department for Transport,National Highways,20/03/2025,TA Renewal of Structures - Capital,OPERATIONS DIRECTORATE,Metrail Construction Limited,1015206,Renewals of Structures,"£72,996.54",BN27 2EY
Department for Transport,National Highways,25/03/2025,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,CONNECT PLUS (M25) LIMITED,APC216921,Water Quality,"£72,943.66",EN6 3NP
Department for Transport,National Highways,14/03/2025,TA Cost AUC - Programme,MAJOR PROJECTS,VERSION 1,1013823,Innovation Operations,"£72,802.80",B2 5DB
Department for Transport,Department for Transport,10/03/2025,Security,"DG Aviation, Maritime & Security Group",SMITHS DETECTION WATFORD LTD,2000035871,#,"£72,710.50",HP2 7DE
Department for Transport,Driver & Vehicle Licensing Agency,15/03/2025,Mail Collection/Deli,Operations,DHL Parcel UK Ltd,2000032464,#,"£72,581.65",SL1 4LZ
Department for Transport,National Highways,04/03/2025,TA Cost AUC - Programme,MAJOR PROJECTS,NETWORK RAIL,1012492,RIS 1 Schemes,"£72,578.52",M60 7WY
Department for Transport,VCA,07/03/2025,Corporate Travel Suspense Account,VCA UK,CORPORATE TRAVEL MANAGEMENT NORTH L,INV 33971,FEB 25 CTM TRAVEL FEE - Travel Management for travel and accommodation bookings undertaken in the period,"£72,534.71",BD1 5HQ
Department for Transport,National Highways,21/03/2025,Other external training costs,HR & EMPLOYEE COMMUNICATION,AA DRIVETECH,1016107,Corporate Support Services,"£72,373.25",RG21 4EA
Department for Transport,National Highways,28/03/2025,ICT Software Purchase,DIGITAL SERVICES,PHOENIX SOFTWARE LTD,1017904,Corporate Support Services,"£72,207.10",YO42 1NS
Department for Transport,British Transport Police,05/03/2025,Auc - It Equipment,Capital Control Account,Sss Public Safety Ltd,585103,Auc - It Equipment,"£72,199.20",HP2 7DX
Department for Transport,National Highways,27/03/2025,ICT Other costs,DIGITAL SERVICES,BRITISH TELECOM PLC (NON CIS) CHARGES,1017512,Corporate Support Services,"£72,158.36",NE82 6AA
Department for Transport,Department for Transport,28/03/2025,Management Consultan,DG Road Transport Group,PWC LLP,2000038200,#,"£72,000.00",WC2N 6RH
Department for Transport,Maritime and Coastguard Agency,31/03/2025,Payment to Other Govt Depts,Central HR Services,Department For Transport,233148185,Group HR Re-charges,"£71,915.14",SW1P 4DR
Department for Transport,National Highways,21/03/2025,TA Renewal of Structures - Capital,FINANCE & BUSINESS SERVICES,HAMMOND (ECS) LTD,1015655,Renewals of Structures,"£71,861.84",CF44 0AE
Department for Transport,National Highways,04/03/2025,Protective clothing & uniforms,OPERATIONS DIRECTORATE,Tower Supplies,1012331,Customer Operations Traffic Management,"£71,799.89",BH12 4TS
Department for Transport,Department for Transport,13/03/2025,Subsidies Private Se,DG Public Transport and Local Group,SANDERS COACHES LIMITED,2000036309,SANDERS COACHES LTD,"£71,738.94",NR25 6EE
Department for Transport,Transport Focus,28/03/2025,Transport user research,Externally Funded,AECOM Ltd,PIN029021,#,"£71,733.16",AL1 3ER
Department for Transport,Department for Transport,28/03/2025,Agency Staff Costs,DG Corporate Delivery Group,Alexander Mann Solutions Limited,2000038238,#,"£71,690.45",EC2M 5TQ
Department for Transport,Department for Transport,26/03/2025,Research,DG Public Transport and Local Group,Ipsos,2000037818,#,"£71,309.00",E1W 1YW
Department for Transport,National Highways,19/03/2025,TA Renewal of Structures - Capital,OPERATIONS DIRECTORATE,Premier Traffic Management Ltd,1014926,Renewals of Structures,"£71,246.76",DL16 6TL
Department for Transport,National Highways,11/03/2025,TA Cost AUC - Programme,MAJOR PROJECTS,GEORGE CORDEROY & CO,1013343,Complex Schemes,"£71,175.44",ME15 6LP
Department for Transport,National Highways,26/03/2025,TA Cost AUC – Non SRN,DIGITAL SERVICES,CAPGEMINI UK PLC,1017175,Corporate Support Services,"£71,157.85",GU21 6DB
Department for Transport,National Highways,04/03/2025,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,MOTT MACDONALD GROUP LTD,1012349,Renewals of Roads,"£71,141.50",CR0 2EE
Department for Transport,Department for Transport,19/03/2025,IT Ser Running Costs,DG Corporate Delivery Group,Phoenix Software,2000036962,#,"£71,121.45",YO42 1NS
Department for Transport,DVSA,21/03/2025,RENT,ESTATES,SJK PROPERTIES LTD,1900014638,RC - NORWICH (PEACHMAN WAY) MPTC RENT,"£71,067.00",#
